,coeff
disappoint,-1.546998529
return,-1.240101931
huge,-1.206403122
unfortun,-0.88750519
sad,-0.661227715
felt,-0.654054067
mayb,-0.638410111
boxi,-0.6291681
look_like,-0.597130439
wash,-0.589381996
want,-0.574982736
back,-0.557100854
thought,-0.553105437
thin,-0.537377401
howev,-0.508245588
materi,-0.480274085
wide,-0.478945731
way,-0.449041834
price,-0.422635435
fabric,-0.421306675
seem,-0.409373011
even,-0.390171239
two,-0.38841405
qualiti,-0.380016529
pull,-0.344605029
shape,-0.341374012
love_color,-0.33440924
use,-0.32835475
expect,-0.304747914
wore,-0.294989713
arm,-0.293085846
look,-0.284140776
problem,-0.276533234
put,-0.262314929
open,-0.259808638
design,-0.250459915
made,-0.248738829
cut,-0.245740048
work,-0.242895213
go,-0.234357969
model,-0.22143811
hope,-0.213051202
necklin,-0.211947548
flat,-0.211909016
area,-0.200218875
came,-0.197478795
bodi,-0.186880008
heavi,-0.184624892
first,-0.177183117
sheer,-0.176601746
bottom,-0.176192795
time,-0.17325009
photo,-0.172079849
much,-0.170909382
neck,-0.164736006
tri,-0.154721055
cloth,-0.154393093
hang,-0.153417665
someth,-0.150230399
just,-0.14830575
short,-0.144485887
shirt,-0.141837101
pictur,-0.138492758
found,-0.137841495
bust,-0.137377967
smaller,-0.129403479
see,-0.126504452
retail,-0.120805819
tall,-0.119516233
sweater,-0.113528029
pant,-0.107728927
onlin,-0.104726785
review,-0.102191174
small,-0.098838866
take,-0.098574449
button,-0.092684652
refer,-0.090099647
hip,-0.083985581
part,-0.083262159
shorter,-0.081144515
get,-0.07705317
around,-0.070618397
figur,-0.069219267
receiv,-0.068766905
almost,-0.060911298
top,-0.058345317
line,-0.056782736
worth,-0.056260189
chest,-0.052215605
sleev,-0.047964994
waist,-0.031917599
tight,-0.028971955
big,-0.028063679
feel_like,-0.019407466
end,-0.010374979
front,-0.006289599
size_small,-0.005113715
fit,-0.004823167
realli,-0.004227228
(Intercept),0
order,0
knee,0
high,0
layer,0
style,0
like,0
everi,0
leg,0
show,0
white,0
red,0
loos,0
one,0
skirt,0
usual_wear,0
everyth,0
quit,0
feel,0
say,0
fine,0
lbs,0
look_great,0
right,0
lace,0
pocket,0
especi,0
now,0
fit_well,0
side,0
larg,0
blous,0
come,0
pattern,0
thing,0
shoulder,0
day,0
fit_true,0
stretch,0
thick,0
anoth,0
low,0
hit,0.001215296
pretti,0.017318363
know,0.019738122
make,0.022355828
bra,0.022607781
denim,0.024181985
might,0.024636225
better,0.028508744
long,0.032023212
winter,0.04173675
X5.4,0.04974892
cute,0.053053524
wear,0.053317988
color,0.054611864
sinc,0.057332435
usual,0.060668238
overal,0.060924525
absolut,0.070652728
extra,0.070886381
full,0.071864238
larger,0.076083323
pair,0.077372556
year,0.080325446
still,0.08509537
dress,0.089361631
person,0.091702256
went,0.091724967
print,0.091960205
sure,0.092064274
size_fit,0.095491474
length,0.100183116
easili,0.101049191
normal,0.102682171
good,0.107159471
buy,0.108113954
longer,0.108330396
flow,0.109999005
hem,0.110093418
regular,0.114793394
probabl,0.123433655
store,0.12424101
issu,0.125873709
underneath,0.126029151
need,0.127687172
piec,0.132356796
super,0.133747647
typic,0.14017153
said,0.140227578
TRUE,0.145781329
tie,0.147792376
purchas,0.152305623
room,0.156628718
size,0.161530749
fit_great,0.163211697
run,0.168602289
blue,0.169239203
run_larg,0.173121772
think,0.173504112
sale,0.181509904
drape,0.181579572
weight,0.184166781
keep,0.185748115
give,0.188408147
skinni,0.190109523
jacket,0.195946288
fit_perfect,0.196639768
though,0.201999174
definit,0.204324285
mani,0.204601803
usual_size,0.208166898
order_size,0.211918148
actual,0.215091715
fall,0.215344333
flatter,0.217506314
got,0.218633135
tank,0.220771696
petit,0.222173849
wonder,0.224573032
flowi,0.231587388
differ,0.233710131
lot,0.235859836
black,0.240832757
best,0.247793018
t,0.257733878
summer,0.258769628
may,0.260852493
find,0.261391066
true_size,0.262751195
well_made,0.271064542
X5.3,0.281090758
m,0.282117321
bought,0.283362226
well,0.28633728
tee,0.289817683
wish,0.294968503
slim,0.302426288
will,0.30866462
light,0.32199777
worn,0.323637794
jean,0.326049615
medium,0.3639283
saw,0.366031931
wait,0.368045561
decid,0.3686339
green,0.36881381
spring,0.390265207
love,0.396618584
ador,0.397495828
lightweight,0.408761772
alway,0.42075037
beauti,0.422600157
without,0.42301664
gorgeous,0.431047516
warm,0.440333387
recommend.1,0.441696699
snug,0.4460563
nice,0.447175966
enough,0.453845348
detail,0.456173885
bit,0.469751272
favorit,0.473513752
tts,0.474108118
navi,0.485597509
yet,0.508363135
love_top,0.508528483
great,0.558836482
littl,0.56961697
slight,0.569952652
soft,0.584836036
surpris,0.602536956
can,0.666641941
fun,0.742466753
comfi,0.763694606
comfort,0.777477436
casual,0.797384941
add,0.805705801
versatil,0.822011293
amaz,0.855102393
perfect,0.855939589
glad,0.909513232
easi,0.955403797
boot,0.998417369
happi,1.056428152
uniqu,1.101133439
feminin,1.189734409
(Intercept),1.261177765
compliment,1.73037143
